barcode,title,genre,releaseDate,quantity,cost
1,Annihilation,thriller,02/04/18,5,15.99
2,Parasite,drama,02/01/18,5,17.99
3,Deadpool,action,02/11/18,7,13.99
4,Arrival,sci-fi,02/13/18,7,13.99
5,Interstellar,sci-fi,02/09/18,3,19.99
6,Boyhood,drama,02/23/18,3,16.99
7,Blade Runner,sci-fi,02/25/18,2,14.99
8,Dunkirk,action,02/07/18,5,15.99
9,IT,horror,02/05/18,3,18.99
10,Blade Runner 2049,sci-fi,02/11/18,6,11.99
11,The Shape of Water,drama,02/15/18,8,6.99
12,Mother!,horror,02/22/18,4,8.99
13,Harry Potter,adventure,02/13/18,2,8.99
14,Halloween,horror,02/23/20,6,5.99
15,Dune,sci-fi,05/03/13,2,4.99
16,Star Wars,sci-fi,01/02/09,1,2.99
17,The Dark Knight,action,12/11/11,23,10.99
18,Pokemon 2000,adventure,02/03/03,20,1.99
19,Lord of the Rings,sci-fi,11/09/14,4,9.99
20,Moonlight,drama,05/31/15,9,6.99
21,Demolition,drama,08/25/18,3,3.99
22,Insidious,horror,07/07/19,24,15.99
23,Home Alone,comedy,11/21/09,30,5.99
24,Moonlight,drama,05/31/15,9,6.99
25,Rush Hour,comedy,08/25/18,8,3.99
26,Rush Hour 2,comedy,05/11/19,11,15.99
27,Rush Hour 3,comedy,11/21/09,15,5.99
